Station,Date,Hour,Tdry,Twet,RH,Tdew
41351,20220108,21,20.5,17.7,75,15.9
41351,20220108,22,18.6,17,84,15.9
41351,20220108,23,17.3,16.3,90,15.6
41351,20220109,0,16.7,16,93,15.6
41351,20220109,1,16.2,15.6,94,15.2
41351,20220109,2,16,15.5,95,15.2
41351,20220109,3,16.2,15.8,96,15.6
41351,20220109,4,16.5,16.1,96,15.9
41351,20220109,5,16.7,16.2,95,15.9
41351,20220109,6,18.8,18.6,98,18.5
41351,20220109,7,19.6,19.2,96,19
41351,20220109,8,22.3,20.2,82,19.1
41351,20220109,9,24.4,20.3,67,17.9
41351,20220109,10,26,20.3,57,16.8
41351,20220109,11,27,20.5,53,16.6
41351,20220109,12,26.1,20.1,55,16.4
41351,20220109,13,27.4,20.4,50,16.1
41351,20220109,14,27.9,20.4,48,15.9
41351,20220109,15,27,20,50,15.7
41351,20220109,16,26.8,19.5,48,14.9
41351,20220109,17,26.6,19.9,51,15.6
41351,20220109,18,24.6,19.4,59,16.1
41351,20220109,19,23,19,67,16.6
41351,20220109,20,21.6,18.5,73,16.6
41351,20220109,21,20.9,18.7,80,17.3
41351,20220109,22,20.6,18.6,82,17.4
41351,20220109,23,20.1,18.7,87,17.9
41351,20220110,0,19.6,18.5,89,17.7
41351,20220110,1,18.7,17.9,92,17.4
41351,20220110,2,19.1,18.5,94,18.1
41351,20220110,3,19.1,18.4,93,18
41351,20220110,4,18.9,18.4,95,18.1
41351,20220110,5,18.5,18,95,17.7
41351,20220110,6,19.6,18.7,91,18.1
41351,20220110,7,20.5,19.3,89,18.6
41351,20220110,8,21.9,19.6,80,18.3
41351,20220110,9,23.1,19.5,70,17.3
41351,20220110,10,25.2,20.2,61,17.2
41351,20220110,11,25.4,19.3,54,15.4
41351,20220110,12,25.7,19.9,56,16.3
41351,20220110,13,27.2,20,49,15.6
41351,20220110,14,26.8,19.9,50,15.5
41351,20220110,15,26.2,19.5,51,15.3
41351,20220110,16,26.1,19.4,51,15.2
41351,20220110,17,24.5,19.4,60,16.2
41351,20220110,18,24.1,19.2,61,16.1
41351,20220110,19,23.5,18.7,61,15.5
41351,20220110,20,22,18.1,67,15.6
41351,20220110,21,21.2,18.6,77,17
41351,20220110,22,20.6,18.5,81,17.2
41351,20220110,23,20.3,18.6,84,17.5
41351,20220111,0,18.7,17.6,89,16.9
41351,20220111,1,17.1,16.4,93,16
41351,20220111,2,17.4,16.8,94,16.4
41351,20220111,3,16.6,16.2,96,16
41351,20220111,4,16.2,15.9,97,15.7
41351,20220111,5,15.6,15.3,97,15.1
41351,20220111,6,16.4,16.2,98,16.1
41351,20220111,7,20.1,18.8,88,18.1
41351,20220111,8,22.1,19.6,78,18.1
41351,20220111,9,23.7,20.1,70,17.9
41351,20220111,10,24.9,19.9,61,16.9
41351,20220111,11,25,19.6,58,16.2
41351,20220111,12,24.9,19.8,60,16.6
41351,20220111,13,25.6,20.2,59,17
41351,20220111,14,25.8,20.4,59,17.2
41351,20220111,15,26.4,20.2,54,16.4
41351,20220111,16,27.1,20.3,51,16.1
41351,20220111,17,26.6,19.9,51,15.6
41351,20220111,18,25.4,19.9,58,16.5
41351,20220111,19,23.8,19.1,62,16.1
41351,20220111,20,21.7,18.6,73,16.7
41351,20220111,21,20.8,18.4,78,16.8
41351,20220111,22,20.2,18.4,83,17.2
41351,20220111,23,19.8,18.5,88,17.8
41351,20220112,0,19.6,18.7,91,18.1
41351,20220112,1,18.2,17.5,93,17.1
41351,20220112,2,17.6,17.1,95,16.8
41351,20220112,3,17.2,16.9,97,16.7
41351,20220112,4,16.8,16.4,96,16.2
41351,20220112,5,17.5,17.3,98,17.2
41351,20220112,6,18.9,18.5,96,18.3
41351,20220112,7,21,19.2,84,18.2
41351,20220112,8,22.3,19.2,73,17.2
41351,20220112,9,22.4,18.4,66,15.7
41351,20220112,10,23.6,19,63,16.2
41351,20220112,11,24.8,18.8,54,14.9
41351,20220112,12,24.4,19.2,59,15.9
41351,20220112,13,23.8,18.5,58,15
41351,20220112,14,25,18.4,50,13.9
41351,20220112,15,25.6,18.3,46,13.1
41351,20220112,16,23.1,17.9,58,14.4
41351,20220112,17,22.3,17.2,58,13.7
41351,20220112,18,21.1,16.2,58,12.5
41351,20220112,19,20.7,16,59,12.4
41351,20220112,20,20,15.8,62,12.5
41351,20220112,21,19.1,15.8,69,13.3
41351,20220112,22,19.3,16.1,70,13.7
41351,20220112,23,19.2,16.1,71,13.8
41351,20220113,0,18.3,15.6,74,13.6
41351,20220113,1,18.6,15.9,74,13.9
41351,20220113,2,18.1,15.5,75,13.6
41351,20220113,3,18.4,16.1,78,14.5
41351,20220113,4,18.4,15.4,71,13.1
41351,20220113,5,17.6,14.5,70,12.1
41351,20220113,6,17.3,14.8,75,12.8
41351,20220113,7,19.5,15.7,65,12.8
41351,20220113,8,20.7,16.2,61,12.9
41351,20220113,9,21.5,16.6,58,12.9
41351,20220113,10,22.5,17,55,13
41351,20220113,11,24.6,17.9,49,13.2
41351,20220113,12,25.7,19,50,14.5
41351,20220113,13,25.8,19,50,14.6
41351,20220113,14,25.8,19.3,52,15.2
41351,20220113,15,26.1,19.6,52,15.5
41351,20220113,16,25.2,18.8,52,14.7
41351,20220113,17,25,19.4,57,15.9
41351,20220113,18,21.9,18.9,74,17.1
41351,20220113,19,21.6,17.8,67,15.2
41351,20220113,20,21.1,17.3,67,14.7
41351,20220113,21,20.9,17.2,67,14.6
41351,20220113,22,20.4,17,69,14.5
41351,20220113,23,20.4,17,69,14.5
41351,20220114,0,20.3,16.9,69,14.4
41351,20220114,1,19.6,16.9,75,15.1
41351,20220114,2,18.8,16.2,75,14.3
41351,20220114,3,18.6,15.6,71,13.3
41351,20220114,4,17.6,14.9,73,12.7
41351,20220114,5,16.1,13.8,76,11.9
41351,20220114,6,16,13.6,75,11.6
41351,20220114,7,17.6,14.2,67,11.4
41351,20220114,8,19.6,15.3,61,11.9
41351,20220114,9,21.2,16.2,57,12.4
41351,20220114,10,21.7,15.9,52,11.4
41351,20220114,11,22.4,16.7,53,12.4
41351,20220114,12,23.5,16.4,45,10.9
41351,20220114,13,23.8,16.7,45,11.2
41351,20220114,14,23.7,17.2,49,12.4
41351,20220114,15,23.4,16.8,48,11.8
41351,20220114,16,23.7,16.9,47,11.7
41351,20220114,17,23.2,16.3,46,11
41351,20220114,18,22.1,16.9,57,13.2
41351,20220114,19,21.1,15.7,54,11.4
41351,20220114,20,20,15.4,59,11.8
41351,20220114,21,19.6,15.2,60,11.6
41351,20220114,22,19.8,15.7,63,12.6
41351,20220114,23,19.4,15.7,66,12.9
41351,20220115,0,19.1,15.7,68,13.1
41351,20220115,1,18.4,15.2,69,12.6
41351,20220115,2,18.3,15.2,70,12.8
41351,20220115,3,17,14.4,74,12.3
41351,20220115,4,16.3,13.7,73,11.5
41351,20220115,5,16.7,13.5,68,10.8
41351,20220115,6,16.8,13.6,68,10.9
41351,20220115,7,18.1,14.2,63,11
41351,20220115,8,19.8,15.1,58,11.3
41351,20220115,9,21.1,15.8,55,11.7
41351,20220115,10,21.8,16.8,58,13.2
41351,20220115,11,22.2,16.4,52,11.9
41351,20220115,12,22.6,16.4,50,11.7
41351,20220115,13,23.8,16.4,43,10.5
41351,20220115,14,24.1,16.8,44,11.1
41351,20220115,15,24.4,16.5,41,10.3
41351,20220115,16,23.8,16.7,45,11.2
41351,20220115,17,24,16.8,45,11.4
41351,20220115,18,23.4,16.4,45,10.8
41351,20220115,19,22.4,15.6,45,9.9
41351,20220115,20,21.2,15.5,52,11
41351,20220115,21,21,15.5,53,11.1
41351,20220115,22,20.1,15.6,60,12.1
41351,20220115,23,19.7,16.3,69,13.9
41351,20220116,0,18.8,15.7,71,13.4
41351,20220116,1,18.1,15.2,72,13
41351,20220116,2,17,14.5,75,12.6
41351,20220116,3,16.7,14.2,75,12.3
41351,20220116,4,16.7,13.2,65,10.1
41351,20220116,5,16.3,12.8,65,9.7
41351,20220116,6,16.1,12.9,67,10
41351,20220116,7,18.2,13.8,59,10.1
41351,20220116,8,20.3,14.9,53,10.4
41351,20220116,9,21.9,15.3,46,9.8
41351,20220116,10,22.9,15.8,44,10
41351,20220116,11,23,15.9,44,10.1
41351,20220116,12,24.1,16.5,42,10.4
41351,20220116,13,24.7,16.6,40,10.2
41351,20220116,14,24.7,17.1,43,11.3
41351,20220116,15,25.5,17.2,40,10.9
41351,20220116,16,26,18.3,44,12.8
41351,20220116,17,24.5,17.7,48,12.8
41351,20220116,18,23.5,17.4,52,13.1
41351,20220116,19,21.9,17.2,60,13.8
41351,20220116,20,20.6,17,68,14.5
41351,20220116,21,20.1,17.3,74,15.3
41351,20220116,22,19.8,17.4,78,15.9
41351,20220116,23,19.5,17.6,82,16.4
41351,20220117,0,19.2,17.5,84,16.4
41351,20220117,1,18.3,16.9,86,15.9
41351,20220117,2,17.5,16.6,91,16
41351,20220117,3,17.4,15.4,80,13.9
41351,20220117,4,16.8,14.4,76,12.6
41351,20220117,5,16.6,13.9,73,11.8
41351,20220117,6,17.3,14.4,71,12
41351,20220117,7,19.3,15,61,11.6
41351,20220117,8,20.9,15.5,54,11.3
41351,20220117,9,22.6,16.7,52,12.3
41351,20220117,10,23.1,16.4,47,11.2
41351,20220117,11,24.7,17.5,46,12.3
41351,20220117,12,26,18.1,43,12.5
41351,20220117,13,26.3,18.3,43,12.7
41351,20220117,14,27,18.6,41,12.6
41351,20220117,15,26.8,19.9,50,15.5
41351,20220117,16,25.8,18.4,46,13.3
41351,20220117,17,24.3,18.4,54,14.4
41351,20220117,18,22.8,17.7,58,14.1
41351,20220117,19,21.4,17.4,65,14.6
41351,20220117,20,20.3,17.2,72,15.1
41351,20220117,21,19.4,16.8,76,15.1
41351,20220117,22,19.2,16.8,77,15.1
41351,20220117,23,19.1,16.8,78,15.2
41351,20220118,0,19.3,17.1,79,15.6
41351,20220118,1,18.9,16.9,81,15.6
41351,20220118,2,18.6,17,84,15.9
41351,20220118,3,18.6,17,84,15.9
41351,20220118,4,19,17.1,82,15.9
41351,20220118,5,19,17.1,82,15.9
41351,20220118,6,18.9,16.7,79,15.2
41351,20220118,7,19.8,17.2,76,15.5
41351,20220118,8,21.7,17.9,67,15.3
41351,20220118,9,22.7,18,61,14.8
41351,20220118,10,23.9,18.8,59,15.4
41351,20220118,11,24.6,19.2,58,15.8
41351,20220118,12,25.9,19.7,54,15.9
41351,20220118,13,26.1,19.3,50,14.9
41351,20220118,14,26.2,18.9,47,14
41351,20220118,15,26.4,19.4,49,14.8
41351,20220118,16,25.5,19.2,53,15.2
41351,20220118,17,24.6,18.8,55,15
41351,20220118,18,23.5,18.1,57,14.5
41351,20220118,19,22.2,17.8,63,14.8
41351,20220118,20,20.5,17.4,72,15.3
41351,20220118,21,20.1,17.5,76,15.8
41351,20220118,22,19.8,17.6,79,16.1
41351,20220118,23,19.1,17.3,83,16.2
41351,20220119,0,17.3,16.3,90,15.6
41351,20220119,1,17.6,17,94,16.6
41351,20220119,2,16.3,15.6,93,15.2
41351,20220119,3,15.6,15.2,96,15
41351,20220119,4,15,14.6,96,14.4
41351,20220119,5,14.7,14.4,96,14.1
41351,20220119,6,14.9,14.6,97,14.4
41351,20220119,7,19.1,18.3,92,17.8
41351,20220119,8,21.3,19.2,81,17.9
41351,20220119,9,22.7,19.3,71,17.2
41351,20220119,10,24.2,19.1,60,15.9
41351,20220119,11,25.9,19.7,54,15.9
41351,20220119,12,25.6,19.2,52,15
41351,20220119,13,25.7,19.7,55,16
41351,20220119,14,25.7,19.9,56,16.3
41351,20220119,15,26.8,19.9,50,15.5
41351,20220119,16,26.7,20.4,54,16.6
41351,20220119,17,25.8,19.6,54,15.8
41351,20220119,18,24.5,19.3,59,16
41351,20220119,19,23,19,67,16.6
41351,20220119,20,21.4,18.2,72,16.2
41351,20220119,21,20.7,18,76,16.3
41351,20220119,22,19.8,17.6,79,16.1
41351,20220119,23,18.4,17.1,87,16.2
41351,20220120,0,19,17.9,89,17.2
41351,20220120,1,18.4,17.4,90,16.7
41351,20220120,2,19.1,18.1,90,17.4
41351,20220120,3,18.6,17.8,92,17.3
41351,20220120,4,18.5,17.8,93,17.4
41351,20220120,5,18.7,18,93,17.5
41351,20220120,6,19.5,18.7,92,18.2
41351,20220120,7,20.5,19.1,87,18.3
41351,20220120,8,22.4,19.7,77,18.2
41351,20220120,9,23.7,19,62,16
41351,20220120,10,23.7,18.9,61,15.7
41351,20220120,11,23.3,18.6,62,15.6
41351,20220120,12,20.8,18.8,82,17.6
41351,20220120,13,20.3,17.4,74,15.5
41351,20220120,14,22,18.1,67,15.6
41351,20220120,15,21.3,17.3,65,14.5
41351,20220120,16,20.8,16.7,64,13.8
41351,20220120,17,20.4,16.4,64,13.4
41351,20220120,18,19.8,15.9,65,13.1
41351,20220120,19,19.2,14.7,59,11
41351,20220120,20,19,14.4,58,10.6
41351,20220120,21,18.8,14.2,58,10.4
41351,20220120,22,18.7,14.3,59,10.5
41351,20220120,23,18.6,14.1,58,10.2
41351,20220121,0,17.6,13.7,62,10.3
41351,20220121,1,16.4,13.5,70,10.9
41351,20220121,2,15.7,13.2,74,11.1
41351,20220121,3,15.2,13.2,78,11.4
41351,20220121,4,15.9,13.8,78,12.1
41351,20220121,5,16.5,14,74,11.9
41351,20220121,6,16,13.4,73,11.2
41351,20220121,7,17.9,14.5,67,11.7
41351,20220121,8,18.6,14.8,64,11.7
41351,20220121,9,21.1,15.7,54,11.4
41351,20220121,10,20.4,15.5,57,11.6
41351,20220121,11,21,15.4,52,10.8
41351,20220121,12,22.5,15.9,47,10.6
41351,20220121,13,22.5,15.5,44,9.7
41351,20220121,14,22.7,15.8,45,10.2
41351,20220121,15,22.2,15.7,47,10.4
41351,20220121,16,21.7,15.8,51,11.1
41351,20220121,17,21.9,15.8,50,11
41351,20220121,18,21.4,16.2,56,12.3
41351,20220121,19,20.5,16.3,63,13.2
41351,20220121,20,19.3,15.6,66,12.8
41351,20220121,21,18.5,15.5,71,13.2
41351,20220121,22,17.4,15,76,13.1
41351,20220121,23,17.3,15.1,78,13.4
41351,20220122,0,15.7,14.4,86,13.4
41351,20220122,1,14.7,13.8,90,13.1
41351,20220122,2,13.7,13.1,93,12.6
41351,20220122,3,13.2,12.7,94,12.3
41351,20220122,4,12.7,12.4,96,12.1
41351,20220122,5,12.5,12.2,96,11.9
41351,20220122,6,13.2,13,97,12.7
41351,20220122,7,17.4,16.2,88,15.4
41351,20220122,8,20.4,17.9,77,16.2
41351,20220122,9,22.3,18.3,66,15.7
41351,20220122,10,23.2,17.6,55,13.7
41351,20220122,11,23.7,18.3,57,14.7
41351,20220122,12,24.8,18.4,51,14
41351,20220122,13,24.3,17.5,48,12.6
41351,20220122,14,25,17.6,45,12.3
41351,20220122,15,25.1,18.2,48,13.3
41351,20220122,16,24.5,18.1,51,13.7
41351,20220122,17,23.9,18.3,56,14.6
41351,20220122,18,22.8,18.3,63,15.4
41351,20220122,19,22,18,66,15.4
41351,20220122,20,21,17.6,70,15.3
41351,20220122,21,20.2,17.2,73,15.2
41351,20220122,22,19.9,17,73,14.9
41351,20220122,23,19.3,16.8,76,15
41351,20220123,0,18.6,16.4,79,14.9
41351,20220123,1,16.7,15.6,88,14.7
41351,20220123,2,16,15.2,91,14.5
41351,20220123,3,15.1,14.5,93,14
41351,20220123,4,14.6,14.1,94,13.7
41351,20220123,5,14.1,13.7,95,13.3
41351,20220123,6,14.3,14,96,13.7
41351,20220123,7,19,17.2,83,16.1
41351,20220123,8,20.8,17.9,74,16
41351,20220123,9,22.2,18.2,66,15.6
41351,20220123,10,23,18.2,61,15.1
41351,20220123,11,23.9,18.6,58,15.1
41351,20220123,12,24.7,18.6,53,14.5
41351,20220123,13,24.4,18.6,55,14.8
41351,20220123,14,23.2,18.2,59,14.8
41351,20220123,15,24.1,18.8,58,15.3
41351,20220123,16,24.2,18.7,57,15.2
41351,20220123,17,23.7,18.6,59,15.2
41351,20220123,18,23.1,18.6,63,15.7
41351,20220123,19,21.9,17.9,66,15.3
41351,20220123,20,21,17.7,71,15.6
41351,20220123,21,20.9,17.8,72,15.7
41351,20220123,22,20.4,17.5,74,15.6
41351,20220123,23,20.1,17.1,73,15.1
41351,20220124,0,19.7,16.9,74,14.9
41351,20220124,1,19.4,17,77,15.3
41351,20220124,2,20,17.2,74,15.2
41351,20220124,3,18.9,17.6,87,16.7
41351,20220124,4,19.3,17.8,86,16.9
41351,20220124,5,18.7,17.9,92,17.4
41351,20220124,6,18.6,18,94,17.6
41351,20220124,7,19,18.2,92,17.7
41351,20220124,8,19.6,19,94,18.6
41351,20220124,9,20.1,19.3,92,18.8
41351,20220124,10,19.9,18.4,86,17.5
41351,20220124,11,20.2,19,89,18.3
41351,20220124,12,20.4,18.9,86,18
41351,20220124,13,20,18.5,86,17.6
41351,20220124,14,20.8,18.6,80,17.2
41351,20220124,15,20.8,18.8,82,17.6
41351,20220124,16,20.9,18,74,16.1
41351,20220124,17,20.9,17.8,72,15.7
41351,20220124,18,20.3,17,70,14.7
41351,20220124,19,18.6,17.2,86,16.2
41351,20220124,20,18.8,17.6,88,16.8
41351,20220124,21,18.8,17.2,84,16.1
41351,20220124,22,18.9,17.6,87,16.7
41351,20220124,23,19.4,18.2,88,17.4
41351,20220125,0,20,18.6,87,17.8
41351,20220125,1,20.1,18.2,82,16.9
41351,20220125,2,20.6,19,85,18
41351,20220125,3,20.8,18.3,77,16.6
41351,20220125,4,20.9,18.7,80,17.3
41351,20220125,5,20.8,18.5,79,17
41351,20220125,6,21.1,18.8,79,17.3
41351,20220125,7,21.5,18.9,77,17.3
41351,20220125,8,21.9,19.2,76,17.5
41351,20220125,9,22.8,20,76,18.4
41351,20220125,10,22.9,20,75,18.2
41351,20220125,11,23.3,20.2,74,18.4
41351,20220125,12,25.8,21.3,65,18.7
41351,20220125,13,25.2,20.9,66,18.4
41351,20220125,14,23.9,20.6,73,18.8
41351,20220125,15,22.4,20.6,84,19.6
41351,20220125,16,23.3,21.1,81,19.9
41351,20220125,17,22.3,20.7,86,19.8
41351,20220125,18,22.4,20.7,85,19.8
41351,20220125,19,21.8,20.8,91,20.3
41351,20220125,20,21.8,20.8,91,20.3
41351,20220125,21,21.5,20,86,19.1
41351,20220125,22,21.6,20.4,89,19.7
41351,20220125,23,21.3,20.9,96,20.6
41351,20220126,0,21.7,21,94,20.7
41351,20220126,1,21.5,20.7,93,20.3
41351,20220126,2,21.3,20.8,95,20.5
41351,20220126,3,20.6,20.1,95,19.8
41351,20220126,4,19.4,19.1,97,18.9
41351,20220126,5,19.1,18.9,98,18.8
41351,20220126,6,18.7,18.5,98,18.4
41351,20220126,7,20.7,20,93,19.5
41351,20220126,8,21.1,20,90,19.4
41351,20220126,9,23.5,20.5,75,18.8
41351,20220126,10,25.1,20.9,67,18.5
41351,20220126,11,26.1,20.8,60,17.7
41351,20220126,12,26.3,21.1,61,18.2
41351,20220126,13,25.3,21.1,67,18.7
41351,20220126,14,25.8,21.7,68,19.5
41351,20220126,15,26.2,21.9,67,19.6
41351,20220126,16,25.2,22.1,75,20.5
41351,20220126,17,26,21.6,66,19.2
41351,20220126,18,26.6,20.5,55,16.8
41351,20220126,19,26,20.4,58,17.1
41351,20220126,20,23.6,20,70,17.8
